comparison_id,anonymous_image_id,evaluation_configuration,preprocessing_condition,attribution_method,resolution,model_architecture,pearson_correlation,ssim,correlation_drift,structural_drift,edi_primary,cosine_similarity,spearman_correlation,mean_squared_error,mean_absolute_error,root_mean_squared_error,normalized_mean_squared_error,lpips_distance
cmp_00077,img_eda521ed44845cab,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9992595911,0.9991500378,0.000370204450000022,0.000849962199999998,0.00061008332500001,,,,,,,
cmp_00078,img_f925fc7211129710,APTOS,diffusion,eigencam,160,EfficientNetB0,0.999320209,0.9992918968,0.00033989550000002,0.000708103200000032,0.000523999350000026,,,,,,,
cmp_00079,img_fa9cfa2017fc80a3,APTOS,diffusion,eigencam,160,EfficientNetB0,0.9985311627,0.9973403811,0.000734418650000013,0.00265961889999999,0.001697018775,,,,,,,
cmp_00080,img_fc1cfaf584bbe967,APTOS,diffusion,eigencam,160,EfficientNetB0,0.999435544,0.9985022545,0.000282227999999995,0.00149774550000004,0.000889986750000016,,,,,,,
cmp_00081,img_0b7e6c07d987d5f2,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9940501451,0.9865371585,0.00297492745,0.0134628415,0.00821888447499999,,,,,,,
cmp_00082,img_0de10ac78229bafc,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9998061061,0.999702692,9.69469500000097e-05,0.000297308000000052,0.000197127475000031,,,,,,,
cmp_00083,img_1aef2747b432cc67,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9997848868,0.9998309612,0.000107556600000003,0.000169038799999965,0.000138297699999984,,,,,,,
cmp_00084,img_218af35941ead89a,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9983323216,0.997781992,0.000833839200000019,0.00221800800000005,0.00152592360000003,,,,,,,
cmp_00085,img_2f9624df43972ad0,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9946128726,0.9937787652,0.00269356370000001,0.00622123480000003,0.00445739925000002,,,,,,,
cmp_00086,img_3387cb608afb9d53,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9985365272,0.9981279671,0.000731736400000016,0.00187203290000004,0.00130188465000003,,,,,,,
cmp_00087,img_3a4a3f5a9f92ac95,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9989894629,0.9981868267,0.000505268549999993,0.00181317329999997,0.00115922092499998,,,,,,,
cmp_00088,img_3f8584a4d36d82f6,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9986203313,0.9985822141,0.000689834349999974,0.00141778589999997,0.00105381012499997,,,,,,,
cmp_00089,img_46c7c4faf5268636,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9990522861,0.9990849495,0.000473856950000018,0.000915050499999959,0.000694453724999988,,,,,,,
cmp_00090,img_52bf77e1908d1435,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9781152606,0.9786161631,0.0109423697,0.0213838369,0.0161631033,,,,,,,
cmp_00091,img_63966711a69f9b1c,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9997602701,0.999758929,0.000119864949999993,0.000241071000000037,0.000180467975000015,,,,,,,
cmp_00092,img_6752b7f65c4d8e5c,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9990799427,0.9979142994,0.000460028649999999,0.00208570060000002,0.00127286462500001,,,,,,,
cmp_00093,img_67f28e4f768d202c,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9969758987,0.9901285172,0.00151205064999999,0.00987148280000005,0.00569176672500002,,,,,,,
cmp_00094,img_68a0a31a26b5879d,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9996240735,0.9996180236,0.000187963249999978,0.000381976400000039,0.000284969825000009,,,,,,,
cmp_00095,img_6d6102325713ee05,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9966912866,0.9959522486,0.00165435670000003,0.00404775140000002,0.00285105405000002,,,,,,,
cmp_00096,img_7177fecb25c8f470,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9986902475,0.9984130263,0.000654876249999992,0.00158697370000005,0.00112092497500002,,,,,,,
cmp_00097,img_7549b170f48ce173,APTOS,diffusion,eigencam,192,EfficientNetB0,0.9984156489,0.9981620908,0.000792175549999996,0.00183790920000004,0.00131504237500002,,,,,,,
